sample1	sample2	distance
0101012010131010011002001002112122010000	0001000023000030110000020211000222000110	0.4
0101012010131010011002001002112122010000	0000010010000010111100000300010100000100	0.55
0101012010131010011002001002112122010000	0003200001101000030201000032022101100100	0.45
0101012010131010011002001002112122010000	3131000100000000010201000010100000110100	0.425
0101012010131010011002001002112122010000	0031010111021001000032000201100200000020	0.45
0101012010131010011002001002112122010000	1200000010001000101000000111300330002000	0.425
0101012010131010011002001002112122010000	2010000000100001010310000000001020033000	0.4
0101012010131010011002001002112122010000	3021000201000001010010010001000000002110	0.275
0101012010131010011002001002112122010000	2100002000130001103300100030100010113030	0.4
0101012010131010011002001002112122010000	0020300000103200000020003000002000201010	0.35
0101012010131010011002001002112122010000	0001033100100000120011010000000000000033	0.375
0101012010131010011002001002112122010000	2000000100002000010010111031000301003202	0.3
0101012010131010011002001002112122010000	2000011000001000002101001210200000000021	0.4
0101012010131010011002001002112122010000	0030010300001033301003000300000000000100	0.4
0101012010131010011002001002112122010000	1100000010100030010000100000020100011101	0.5
0101012010131010011002001002112122010000	1013101001010011000030010113000020000000	0.3
0101012010131010011002001002112122010000	3300000010000103010100100000110001100200	0.4
0101012010131010011002001002112122010000	1100000130001300000000112003000210000020	0.375
0101012010131010011002001002112122010000	1200100010011011002000000001210100220021	0.45
0101012010131010011002001002112122010000	0020001031201000101000020110101000000101	0.35
0101012010131010011002001002112122010000	1010003000000000311100100010000000000001	0.35
0101012010131010011002001002112122010000	0110000121031001100102200001020000000000	0.4
0101012010131010011002001002112122010000	0001100013011101300100002102010000103001	0.35
0101012010131010011002001002112122010000	1011000021020100100132103100000010131002	0.225
0121000130000020210001002000110030000010	0101012010131010011002001002112122010000	0.5
0121000130000020210001002000110030000010	0000300000011010000301003000000000200100	0.525
0121000130000020210001002000110030000010	0000100100031010100301010101130020000000	0.55
0121000130000020210001002000110030000010	1000010000000001001021000110003000002000	0.45
0121000130000020210001002000110030000010	0001000000300300000000010003020000030030	0.55
0121000130000020210001002000110030000010	0300121000013000000000300210110000100002	0.45
0121000130000020210001002000110030000010	0120010210020000030011212000000102010000	0.55
0121000130000020210001002000110030000010	0000000101120000301100001000110300000310	0.575
0121000130000020210001002000110030000010	0000000010012301010123010010002001000100	0.4
0121000130000020210001002000110030000010	1010020110000000000312111030313110000011	0.475
0121000130000020210001002000110030000010	1031100111002000000120300030000001003001	0.425
0121000130000020210001002000110030000010	3011001000000001001300010132000110110000	0.375
0121000130000020210001002000110030000010	0000000000030100000011001020000000300000	0.55
0121000130000020210001002000110030000010	3001000002100000002112001002000001200000	0.45
0121000130000020210001002000110030000010	0000300101000000000303030020002001100000	0.475
0121000130000020210001002000110030000010	0100100001002101010001100100020001300330	0.475
0121000130000020210001002000110030000010	2110010101010120000010003203301010100100	0.45
0121000130000020210001002000110030000010	0000011101000000100111002020100000100120	0.55
0121000130000020210001002000110030000010	0000203300003001000100000010000000003023	0.45
0121000130000020210001002000110030000010	1001000000013113100103000002001002313020	0.375
0121000130000020210001002000110030000010	2300100001000002112001100020001001030011	0.45
0121000130000020210001002000110030000010	0000001000001031020312000210330101120100	0.35
0121000130000020210001002000110030000010	0000000003001000100210211000011100000000	0.475
0121000130000020210001002000110030000010	1030011200031110103100003031010003001100	0.35
0121000130000020210001002000110030000010	0010200003000000100200200021100000201133	0.425
0121000130000020210001002000110030000010	0000200000000301000301010020002100011100	0.4
0121000130000020210001002000110030000010	0101012000200010200130000000002000100100	0.525
0121000130000020210001002000110030000010	0020010311003001200121000000120100312000	0.5
0121000130000020210001002000110030000010	0110002020000010102100002003030000200000	0.575
0121000130000020210001002000110030000010	0030000000200001000000122002021112010100	0.425
0121000130000020210001002000110030000010	0000001010000000121000110100101003000001	0.475
0121000130000020210001002000110030000010	1002000003021200122000010003010010100031	0.425
0121000130000020210001002000110030000010	0011000301100111001120112000302110012001	0.35
0121000130000020210001002000110030000010	1001023201000103000100010100001000210002	0.35
0121000130000020210001002000110030000010	0302010002030300002010000100000000100001	0.425
0121000130000020210001002000110030000010	0100130030000000010200000101300000100300	0.55
0121000130000020210001002000110030000010	1110202200010203120110310030120001133000	0.325
0121000130000020210001002000110030000010	0000231010120020001000003010011031210000	0.45
0121000130000020210001002000110030000010	0100010000003001021100100001000021000001	0.45
0121000130000020210001002000110030000010	1000010100110000200001000000000100101000	0.55
0121000130000020210001002000110030000010	0002000110101000010000300000101100100012	0.575
0121000130000020210001002000110030000010	0300230010000000202100200110020000100000	0.475
0121000130000020210001002000110030000010	0100202030020000100000100000011000000001	0.575
0121000130000020210001002000110030000010	0100000330100230000000101001100203200100	0.525
0121000130000020210001002000110030000010	1311001033030201000000010101000200110001	0.375
0121000130000020210001002000110030000010	0003000033320200000220300010020001110120	0.375
0121000130000020210001002000110030000010	3100000100030210000003201011103100100010	0.525
0121000130000020210001002000110030000010	1000010013110000002301100300100010001230	0.425
0121000130000020210001002000110030000010	0130200300303100130000310003000013000000	0.475
0121000130000020210001002000110030000010	3210001000010103210010000001000001101200	0.425
0121000130000020210001002000110030000010	0332130001020130300000010010211010001013	0.45
0121000130000020210001002000110030000010	0000300102101100010002030002100001010000	0.5
0121000130000020210001002000110030000010	0010000300310000001002030000110001000000	0.575
0121000130000020210001002000110030000010	0000010000000120001001121000010000000300	0.575
0121000130000020210001002000110030000010	0000010010310013010120000010111000011210	0.475
0121000130000020210001002000110030000010	3012001001300100110000000000000001220200	0.45
0121000130000020210001002000110030000010	0111100103000000100212001011220310003010	0.55
0121000130000020210001002000110030000010	0200303000002000010000120002230200231012	0.425
0121000130000020210001002000110030000010	0000002200130300010000100000000000000010	0.575
0121000130000020210001002000110030000010	0011002000310000003000001100000010000102	0.5
0121000130000020210001002000110030000010	1000003100121001003020030110100000031013	0.375
0121000130000020210001002000110030000010	0001030210100000012200100001030001020000	0.5
0121000130000020210001002000110030000010	0100010101000002100003110001101000010001	0.5
0121000130000020210001002000110030000010	1011000101001101110003100030202131010002	0.45
0121000130000020210001002000110030000010	0100102011210201020020000010000220001000	0.4
0121000130000020210001002000110030000010	0000003012211103000000200030303010011000	0.35
0121000130000020210001002000110030000010	0000000000030030032100301000300000000003	0.525
0121000130000020210001002000110030000010	0330003001101100120130000001000010000000	0.45
0121000130000020210001002000110030000010	0001103010200000300000000000100000000230	0.6
0121000130000020210001002000110030000010	0002001100000002101000001010231000001010	0.55
0121000130000020210001002000110030000010	0001001033000001100000001200030010000000	0.6
0121000130000020210001002000110030000010	2000101300000000200001000001000001100011	0.55
0121000130000020210001002000110030000010	0002010000100000001100010100022010301000	0.425
0121000130000020210001002000110030000010	1100001321000000001200210000321000010033	0.425
0121000130000020210001002000110030000010	0020101000001010120101000303020012000200	0.5
0121000130000020210001002000110030000010	0001000023000030110000020211000222000110	0.525
0121000130000020210001002000110030000010	0000010010000010111100000300010100000100	0.55
0121000130000020210001002000110030000010	0003200001101000030201000032022101100100	0.375
0121000130000020210001002000110030000010	3131000100000000010201000010100000110100	0.65
0121000130000020210001002000110030000010	0031010111021001000032000201100200000020	0.5
0121000130000020210001002000110030000010	1200000010001000101000000111300330002000	0.475
0121000130000020210001002000110030000010	2010000000100001010310000000001020033000	0.475
0121000130000020210001002000110030000010	3021000201000001010010010001000000002110	0.55
0121000130000020210001002000110030000010	2100002000130001103300100030100010113030	0.4
0121000130000020210001002000110030000010	0020300000103200000020003000002000201010	0.5
0121000130000020210001002000110030000010	0001033100100000120011010000000000000033	0.575
0121000130000020210001002000110030000010	2000000100002000010010111031000301003202	0.4
0121000130000020210001002000110030000010	2000011000001000002101001210200000000021	0.45
0121000130000020210001002000110030000010	0030010300001033301003000300000000000100	0.5
0121000130000020210001002000110030000010	1100000010100030010000100000020100011101	0.5
0121000130000020210001002000110030000010	1013101001010011000030010113000020000000	0.375
0121000130000020210001002000110030000010	3300000010000103010100100000110001100200	0.525
0121000130000020210001002000110030000010	1100000130001300000000112003000210000020	0.575
0121000130000020210001002000110030000010	1200100010011011002000000001210100220021	0.4
0121000130000020210001002000110030000010	0020001031201000101000020110101000000101	0.45
0121000130000020210001002000110030000010	1010003000000000311100100010000000000001	0.5
0121000130000020210001002000110030000010	0110000121031001100102200001020000000000	0.525
0121000130000020210001002000110030000010	0001100013011101300100002102010000103001	0.425
0000300000011010000301003000000000200100	0101012010131010011002001002112122010000	0.425
0000300000011010000301003000000000200100	0121000130000020210001002000110030000010	0.525
0000300000011010000301003000000000200100	0000100100031010100301010101130020000000	0.675
0000300000011010000301003000000000200100	1000010000000001001021000110003000002000	0.575
0000300000011010000301003000000000200100	0001000000300300000000010003020000030030	0.575
0000300000011010000301003000000000200100	0300121000013000000000300210110000100002	0.575
0000300000011010000301003000000000200100	0120010210020000030011212000000102010000	0.5
0000300000011010000301003000000000200100	0000000101120000301100001000110300000310	0.55
0000300000011010000301003000000000200100	0000000010012301010123010010002001000100	0.6
0000300000011010000301003000000000200100	1010020110000000000312111030313110000011	0.4
0000300000011010000301003000000000200100	1031100111002000000120300030000001003001	0.475
0000300000011010000301003000000000200100	3011001000000001001300010132000110110000	0.475
0000300000011010000301003000000000200100	0000000000030100000011001020000000300000	0.725
0000300000011010000301003000000000200100	3001000002100000002112001002000001200000	0.6
0000300000011010000301003000000000200100	0000300101000000000303030020002001100000	0.675
0000300000011010000301003000000000200100	0100100001002101010001100100020001300330	0.55
0000300000011010000301003000000000200100	2110010101010120000010003203301010100100	0.525
0000300000011010000301003000000000200100	0000011101000000100111002020100000100120	0.6
0000300000011010000301003000000000200100	0000203300003001000100000010000000003023	0.6
0000300000011010000301003000000000200100	1001000000013113100103000002001002313020	0.55
0000300000011010000301003000000000200100	2300100001000002112001100020001001030011	0.45
0000300000011010000301003000000000200100	0000001000001031020312000210330101120100	0.575
0000300000011010000301003000000000200100	0000000003001000100210211000011100000000	0.6
0000300000011010000301003000000000200100	1030011200031110103100003031010003001100	0.55
0000300000011010000301003000000000200100	0010200003000000100200200021100000201133	0.575
0000300000011010000301003000000000200100	0000200000000301000301010020002100011100	0.65
0000300000011010000301003000000000200100	0101012000200010200130000000002000100100	0.625
0000300000011010000301003000000000200100	0020010311003001200121000000120100312000	0.475
0000300000011010000301003000000000200100	0110002020000010102100002003030000200000	0.625
0000300000011010000301003000000000200100	0030000000200001000000122002021112010100	0.5
0000300000011010000301003000000000200100	0000001010000000121000110100101003000001	0.475
0000300000011010000301003000000000200100	1002000003021200122000010003010010100031	0.475
0000300000011010000301003000000000200100	0011000301100111001120112000302110012001	0.35
0000300000011010000301003000000000200100	1001023201000103000100010100001000210002	0.475
0000300000011010000301003000000000200100	0302010002030300002010000100000000100001	0.55
0000300000011010000301003000000000200100	0100130030000000010200000101300000100300	0.6
0000300000011010000301003000000000200100	1110202200010203120110310030120001133000	0.35
0000300000011010000301003000000000200100	0000231010120020001000003010011031210000	0.55
0000300000011010000301003000000000200100	0100010000003001021100100001000021000001	0.525
0000300000011010000301003000000000200100	1000010100110000200001000000000100101000	0.65
0000300000011010000301003000000000200100	0002000110101000010000300000101100100012	0.525
0000300000011010000301003000000000200100	0300230010000000202100200110020000100000	0.55
0000300000011010000301003000000000200100	0100202030020000100000100000011000000001	0.575
0000300000011010000301003000000000200100	0100000330100230000000101001100203200100	0.575
0000300000011010000301003000000000200100	1311001033030201000000010101000200110001	0.4
0000300000011010000301003000000000200100	0003000033320200000220300010020001110120	0.5
0000300000011010000301003000000000200100	3100000100030210000003201011103100100010	0.525
0000300000011010000301003000000000200100	1000010013110000002301100300100010001230	0.55
0000300000011010000301003000000000200100	0130200300303100130000310003000013000000	0.475
0000300000011010000301003000000000200100	3210001000010103210010000001000001101200	0.5
0000300000011010000301003000000000200100	0332130001020130300000010010211010001013	0.375
0000300000011010000301003000000000200100	0000300102101100010002030002100001010000	0.575
0000300000011010000301003000000000200100	0010000300310000001002030000110001000000	0.6
0000300000011010000301003000000000200100	0000010000000120001001121000010000000300	0.65
0000300000011010000301003000000000200100	0000010010310013010120000010111000011210	0.5
0000300000011010000301003000000000200100	3012001001300100110000000000000001220200	0.525
0000300000011010000301003000000000200100	0111100103000000100212001011220310003010	0.4
0000300000011010000301003000000000200100	0200303000002000010000120002230200231012	0.5
0000300000011010000301003000000000200100	0000002200130300010000100000000000000010	0.6
0000300000011010000301003000000000200100	0011002000310000003000001100000010000102	0.625
0000300000011010000301003000000000200100	1000003100121001003020030110100000031013	0.425
0000300000011010000301003000000000200100	0001030210100000012200100001030001020000	0.475
0000300000011010000301003000000000200100	0100010101000002100003110001101000010001	0.45
0000300000011010000301003000000000200100	1011000101001101110003100030202131010002	0.35
0000300000011010000301003000000000200100	0100102011210201020020000010000220001000	0.475
0000300000011010000301003000000000200100	0000003012211103000000200030303010011000	0.5
0000300000011010000301003000000000200100	0000000000030030032100301000300000000003	0.65
0000300000011010000301003000000000200100	0330003001101100120130000001000010000000	0.525
0000300000011010000301003000000000200100	0001103010200000300000000000100000000230	0.6
0000300000011010000301003000000000200100	0002001100000002101000001010231000001010	0.475
0000300000011010000301003000000000200100	0001001033000001100000001200030010000000	0.55
0000300000011010000301003000000000200100	2000101300000000200001000001000001100011	0.6
0000300000011010000301003000000000200100	0002010000100000001100010100022010301000	0.525
0000300000011010000301003000000000200100	1100001321000000001200210000321000010033	0.4
0000300000011010000301003000000000200100	0020101000001010120101000303020012000200	0.625
0000300000011010000301003000000000200100	0001000023000030110000020211000222000110	0.475
0000300000011010000301003000000000200100	0000010010000010111100000300010100000100	0.625
0000300000011010000301003000000000200100	0003200001101000030201000032022101100100	0.6
0000300000011010000301003000000000200100	3131000100000000010201000010100000110100	0.6
0000300000011010000301003000000000200100	0031010111021001000032000201100200000020	0.475
0000300000011010000301003000000000200100	1200000010001000101000000111300330002000	0.5
0000300000011010000301003000000000200100	2010000000100001010310000000001020033000	0.55
0000300000011010000301003000000000200100	3021000201000001010010010001000000002110	0.5
0000300000011010000301003000000000200100	2100002000130001103300100030100010113030	0.45
0000300000011010000301003000000000200100	0020300000103200000020003000002000201010	0.675
0000300000011010000301003000000000200100	0001033100100000120011010000000000000033	0.525
0000300000011010000301003000000000200100	2000000100002000010010111031000301003202	0.475
0000300000011010000301003000000000200100	2000011000001000002101001210200000000021	0.6
0000300000011010000301003000000000200100	0030010300001033301003000300000000000100	0.65
0000300000011010000301003000000000200100	1100000010100030010000100000020100011101	0.525
0000300000011010000301003000000000200100	1013101001010011000030010113000020000000	0.525
0000300000011010000301003000000000200100	3300000010000103010100100000110001100200	0.525
0000300000011010000301003000000000200100	1100000130001300000000112003000210000020	0.525
0000300000011010000301003000000000200100	1200100010011011002000000001210100220021	0.575
0000300000011010000301003000000000200100	0020001031201000101000020110101000000101	0.5
0000300000011010000301003000000000200100	1010003000000000311100100010000000000001	0.55
0000300000011010000301003000000000200100	0110000121031001100102200001020000000000	0.55
0000100100031010100301010101130020000000	0101012010131010011002001002112122010000	0.45
0000100100031010100301010101130020000000	0121000130000020210001002000110030000010	0.55
0000100100031010100301010101130020000000	0000300000011010000301003000000000200100	0.675
0000100100031010100301010101130020000000	1000010000000001001021000110003000002000	0.5
0000100100031010100301010101130020000000	0001000000300300000000010003020000030030	0.55
0000100100031010100301010101130020000000	0300121000013000000000300210110000100002	0.525
0000100100031010100301010101130020000000	0120010210020000030011212000000102010000	0.425
0000100100031010100301010101130020000000	0000000101120000301100001000110300000310	0.525
0000100100031010100301010101130020000000	0000000010012301010123010010002001000100	0.45
0000100100031010100301010101130020000000	1010020110000000000312111030313110000011	0.425
0000100100031010100301010101130020000000	1031100111002000000120300030000001003001	0.425
0000100100031010100301010101130020000000	3011001000000001001300010132000110110000	0.475
0000100100031010100301010101130020000000	0000000000030100000011001020000000300000	0.575
0000100100031010100301010101130020000000	3001000002100000002112001002000001200000	0.425
0000100100031010100301010101130020000000	0000300101000000000303030020002001100000	0.575
0000100100031010100301010101130020000000	0100100001002101010001100100020001300330	0.475
0000100100031010100301010101130020000000	2110010101010120000010003203301010100100	0.4
0000100100031010100301010101130020000000	0000011101000000100111002020100000100120	0.525
0000100100031010100301010101130020000000	0000203300003001000100000010000000003023	0.5
0000100100031010100301010101130020000000	1001000000013113100103000002001002313020	0.45
0000100100031010100301010101130020000000	2300100001000002112001100020001001030011	0.4
0000100100031010100301010101130020000000	0000001000001031020312000210330101120100	0.475
0000100100031010100301010101130020000000	0000000003001000100210211000011100000000	0.575
0000100100031010100301010101130020000000	1030011200031110103100003031010003001100	0.5
0000100100031010100301010101130020000000	0010200003000000100200200021100000201133	0.5
0000100100031010100301010101130020000000	0000200000000301000301010020002100011100	0.525
0000100100031010100301010101130020000000	0101012000200010200130000000002000100100	0.45
0000100100031010100301010101130020000000	0020010311003001200121000000120100312000	0.45
0000100100031010100301010101130020000000	0110002020000010102100002003030000200000	0.55
0000100100031010100301010101130020000000	0030000000200001000000122002021112010100	0.4
0000100100031010100301010101130020000000	0000001010000000121000110100101003000001	0.55
0000100100031010100301010101130020000000	1002000003021200122000010003010010100031	0.5
0000100100031010100301010101130020000000	0011000301100111001120112000302110012001	0.325
0000100100031010100301010101130020000000	1001023201000103000100010100001000210002	0.425
0000100100031010100301010101130020000000	0302010002030300002010000100000000100001	0.475
0000100100031010100301010101130020000000	0100130030000000010200000101300000100300	0.575
0000100100031010100301010101130020000000	1110202200010203120110310030120001133000	0.375
0000100100031010100301010101130020000000	0000231010120020001000003010011031210000	0.375
0000100100031010100301010101130020000000	0100010000003001021100100001000021000001	0.5
0000100100031010100301010101130020000000	1000010100110000200001000000000100101000	0.55
0000100100031010100301010101130020000000	0002000110101000010000300000101100100012	0.475
0000100100031010100301010101130020000000	0300230010000000202100200110020000100000	0.5
0000100100031010100301010101130020000000	0100202030020000100000100000011000000001	0.525
0000100100031010100301010101130020000000	0100000330100230000000101001100203200100	0.45
0000100100031010100301010101130020000000	1311001033030201000000010101000200110001	0.425
0000100100031010100301010101130020000000	0003000033320200000220300010020001110120	0.325
0000100100031010100301010101130020000000	3100000100030210000003201011103100100010	0.525
0000100100031010100301010101130020000000	1000010013110000002301100300100010001230	0.475
0000100100031010100301010101130020000000	0130200300303100130000310003000013000000	0.525
0000100100031010100301010101130020000000	3210001000010103210010000001000001101200	0.375
0000100100031010100301010101130020000000	0332130001020130300000010010211010001013	0.425
0000100100031010100301010101130020000000	0000300102101100010002030002100001010000	0.575
0000100100031010100301010101130020000000	0010000300310000001002030000110001000000	0.575
0000100100031010100301010101130020000000	0000010000000120001001121000010000000300	0.525
0000100100031010100301010101130020000000	0000010010310013010120000010111000011210	0.4
0000100100031010100301010101130020000000	3012001001300100110000000000000001220200	0.375
0000100100031010100301010101130020000000	0111100103000000100212001011220310003010	0.5
0000100100031010100301010101130020000000	0200303000002000010000120002230200231012	0.425
0000100100031010100301010101130020000000	0000002200130300010000100000000000000010	0.525
0000100100031010100301010101130020000000	0011002000310000003000001100000010000102	0.475
0000100100031010100301010101130020000000	1000003100121001003020030110100000031013	0.475
0000100100031010100301010101130020000000	0001030210100000012200100001030001020000	0.475
0000100100031010100301010101130020000000	0100010101000002100003110001101000010001	0.575
0000100100031010100301010101130020000000	1011000101001101110003100030202131010002	0.375
0000100100031010100301010101130020000000	0100102011210201020020000010000220001000	0.4
0000100100031010100301010101130020000000	0000003012211103000000200030303010011000	0.4
0000100100031010100301010101130020000000	0000000000030030032100301000300000000003	0.55
0000100100031010100301010101130020000000	0330003001101100120130000001000010000000	0.525
0000100100031010100301010101130020000000	0001103010200000300000000000100000000230	0.55
0000100100031010100301010101130020000000	0002001100000002101000001010231000001010	0.5
0000100100031010100301010101130020000000	0001001033000001100000001200030010000000	0.55
0000100100031010100301010101130020000000	2000101300000000200001000001000001100011	0.575
0000100100031010100301010101130020000000	0002010000100000001100010100022010301000	0.525
0000100100031010100301010101130020000000	1100001321000000001200210000321000010033	0.4
0000100100031010100301010101130020000000	0020101000001010120101000303020012000200	0.65
0000100100031010100301010101130020000000	0001000023000030110000020211000222000110	0.5
0000100100031010100301010101130020000000	0000010010000010111100000300010100000100	0.55
0000100100031010100301010101130020000000	0003200001101000030201000032022101100100	0.45
0000100100031010100301010101130020000000	3131000100000000010201000010100000110100	0.5
0000100100031010100301010101130020000000	0031010111021001000032000201100200000020	0.525
0000100100031010100301010101130020000000	1200000010001000101000000111300330002000	0.575
0000100100031010100301010101130020000000	2010000000100001010310000000001020033000	0.475
0000100100031010100301010101130020000000	3021000201000001010010010001000000002110	0.45
0000100100031010100301010101130020000000	2100002000130001103300100030100010113030	0.45
0000100100031010100301010101130020000000	0020300000103200000020003000002000201010	0.425
0000100100031010100301010101130020000000	0001033100100000120011010000000000000033	0.55
0000100100031010100301010101130020000000	2000000100002000010010111031000301003202	0.45
0000100100031010100301010101130020000000	2000011000001000002101001210200000000021	0.5
0000100100031010100301010101130020000000	0030010300001033301003000300000000000100	0.55
0000100100031010100301010101130020000000	1100000010100030010000100000020100011101	0.375
0000100100031010100301010101130020000000	1013101001010011000030010113000020000000	0.575
0000100100031010100301010101130020000000	3300000010000103010100100000110001100200	0.425
0000100100031010100301010101130020000000	1100000130001300000000112003000210000020	0.525
0000100100031010100301010101130020000000	1200100010011011002000000001210100220021	0.5
0000100100031010100301010101130020000000	0020001031201000101000020110101000000101	0.5
0000100100031010100301010101130020000000	1010003000000000311100100010000000000001	0.45
1000010000000001001021000110003000002000	0101012010131010011002001002112122010000	0.375
1000010000000001001021000110003000002000	0121000130000020210001002000110030000010	0.45
1000010000000001001021000110003000002000	0000300000011010000301003000000000200100	0.575
1000010000000001001021000110003000002000	0000100100031010100301010101130020000000	0.5
1000010000000001001021000110003000002000	0001000000300300000000010003020000030030	0.55
1000010000000001001021000110003000002000	0300121000013000000000300210110000100002	0.525
1000010000000001001021000110003000002000	0120010210020000030011212000000102010000	0.5
1000010000000001001021000110003000002000	0000000101120000301100001000110300000310	0.475
1000010000000001001021000110003000002000	0000000010012301010123010010002001000100	0.6
1000010000000001001021000110003000002000	1010020110000000000312111030313110000011	0.475
1000010000000001001021000110003000002000	1031100111002000000120300030000001003001	0.525
1000010000000001001021000110003000002000	3011001000000001001300010132000110110000	0.575
1000010000000001001021000110003000002000	0000000000030100000011001020000000300000	0.675
1000010000000001001021000110003000002000	3001000002100000002112001002000001200000	0.55
1000010000000001001021000110003000002000	0000300101000000000303030020002001100000	0.575
1000010000000001001021000110003000002000	0100100001002101010001100100020001300330	0.525
1000010000000001001021000110003000002000	2110010101010120000010003203301010100100	0.45
1000010000000001001021000110003000002000	0000011101000000100111002020100000100120	0.55
1000010000000001001021000110003000002000	0000203300003001000100000010000000003023	0.625
1000010000000001001021000110003000002000	1001000000013113100103000002001002313020	0.475
1000010000000001001021000110003000002000	2300100001000002112001100020001001030011	0.525
